x,y,z
-1.180710324644369,-1.5340915098119794,-0.8974229803366135
-1.180710324644369,-1.5340915098119794,-0.8974229803366135
-1.180710324644369,-1.5340915098119794,-0.8974229803366135
-1.180710324644369,-1.5340915098119794,-0.8974229803366135
-1.180710324644369,-1.5340915098119794,-0.8974229803366135
-1.180710324644369,-1.5340915098119794,-0.8974229803366135
-1.180710324644369,-1.5340915098119794,-0.8974229803366135
-1.180710324644369,-1.5340915098119794,-0.8974229803366135
-1.180710324644369,-1.5340915098119794,-0.8974229803366135
-1.180710324644369,-1.5340915098119794,-0.8974229803366135
-1.180710324644369,-1.5340915098119794,-0.8974229803366135
-1.180710324644369,-1.6241822940710906,-0.9605523107572425
-1.247154927232736,-1.5340915098119794,-1.0236816411778715
-1.0478209467114958,-1.2638196255059746,-0.9605523107572425
-0.9149315687786226,-1.0836382912234168,-0.9605523107572425
-0.8484867934341163,-0.99354774119997,-0.9605523107572425
-0.9813761713669895,-1.0836382912234168,-0.8342936499159846
-1.1142655492998628,-1.173729075482528,-0.7080349890747266
-1.180710324644369,-1.2638196255059746,-0.7080349890747266
-1.180710324644369,-1.353910409765086,-0.7711643194953556
-1.3135995298211027,-1.4440009597885326,-0.7080349890747266
-1.3800441324094697,-1.4440009597885326,-0.7080349890747266
-1.3135995298211027,-1.353910409765086,-0.6449056586540977
-1.180710324644369,-1.173729075482528,-0.6449056586540977
-0.9813761713669895,-1.0836382912234168,-0.5186469978128396
-0.9813761713669895,-1.0836382912234168,-0.5817763282334687
-0.9813761713669895,-1.0836382912234168,-0.6449056586540977
-0.8484867934341163,-1.0836382912234168,-0.7711643194953556
-0.9149315687786226,-1.173729075482528,-0.7711643194953556
-0.9813761713669895,-1.2638196255059746,-0.7080349890747266
-1.1142655492998628,-1.353910409765086,-0.7080349890747266
-1.0478209467114958,-1.2638196255059746,-0.6449056586540977
-0.9813761713669895,-1.173729075482528,-0.5817763282334687
-1.1142655492998628,-1.2638196255059746,-0.4555176673922108
-1.1142655492998628,-1.173729075482528,-0.5186469978128396
-0.9813761713669895,-1.0836382912234168,-0.7080349890747266
-0.9813761713669895,-0.99354774119997,-0.8342936499159846
-0.9813761713669895,-1.0836382912234168,-1.0236816411778715
-1.1142655492998628,-1.2638196255059746,-1.0868109715985006
-1.0478209467114958,-1.173729075482528,-1.2130696324397585
-0.8484867934341163,-0.99354774119997,-1.2761989628603874
-0.7820421908457493,-0.9034571911765231,-1.2130696324397585
-0.7820421908457493,-0.813366406917412,-1.1499403020191294
-0.7155975882573826,-0.7232758100468324,-1.0236816411778715
-0.7820421908457493,-0.6331851663291198,-0.9605523107572425
-0.9149315687786226,-0.7232758100468324,-1.0868109715985006
-0.9813761713669895,-0.7232758100468324,-1.1499403020191294
-0.9813761713669895,-0.813366406917412,-1.4655869541222744
-0.7820421908457493,-0.6331851663291198,-1.7181042758047902
-0.44981883239163617,-0.4530038788936948,-2.0337509279079353
-0.25048485187039604,-0.36291323517598223,-2.160009588749193
-0.11759547393752288,-0.18273185404629147,-2.096880258328564
